  ───────────────────────────────────────────────────────────────────────────────────
  │Icon        │Address          │Opcode   │Instruction                      
  ───────────────────────────────────────────────────────────────────────────────────
  │            │0000000000000000 │         │                                 
  ├───         │00007FF838E51030 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51031 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51032 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51033 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51034 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51035 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51036 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51037 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51038 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51039 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5103A │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5103B │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5103C │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5103D │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5103E │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5103F │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51040 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51041 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51042 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51043 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51044 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51045 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51046 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51047 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51048 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51049 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5104A │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5104B │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5104C │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5104D │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5104E │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5104F │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51050 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51051 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51052 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51053 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51054 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51055 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51056 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51057 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51058 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51059 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5105A │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5105B │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5105C │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5105D │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5105E │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5105F │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51060 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51061 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51062 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51063 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51064 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51065 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51066 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51067 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51068 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51069 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5106A │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5106B │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5106C │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5106D │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5106E │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5106F │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51070 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51071 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51072 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51073 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51074 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51075 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51076 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51077 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51078 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51079 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5107A │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5107B │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5107C │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5107D │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5107E │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5107F │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51080 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51081 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51082 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
