  ───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │Address                  │Size │Level        │PageInfo                                            │AssignmentType │PageProtection 
  ───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │0                        │0    │             │                                                    │               │               
  ├───1110198845440         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845441         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845442         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845443         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845444         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845445         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845446         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845447         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845448         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845449         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845450         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845451         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845452         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845453         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845454         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845455         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845456         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845457         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845458         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845459         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845460         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845461         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845462         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845463         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845464         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845465         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845466         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845467         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845468         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845469         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845470         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845471         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845472         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
