[Syscall Table from C:\Windows\System32\ntdll.dll]

---------------------------------------------------------------------------------
| Syscall Name                                          | Number | Number (hex) |
---------------------------------------------------------------------------------
| NtAcceptConnectPort                                   | 2      | 0x0002       |
| NtAccessCheck                                         | 0      | 0x0000       |
| NtAccessCheckAndAuditAlarm                            | 41     | 0x0029       |
| NtAccessCheckByType                                   | 99     | 0x0063       |
| NtAccessCheckByTypeAndAuditAlarm                      | 89     | 0x0059       |
| NtAccessCheckByTypeResultList                         | 100    | 0x0064       |
| NtAccessCheckByTypeResultListAndAuditAlarm            | 101    | 0x0065       |
| NtAccessCheckByTypeResultListAndAuditAlarmByHandle    | 102    | 0x0066       |
| NtAcquireCrossVmMutant                                | 103    | 0x0067       |
| NtAcquireProcessActivityReference                     | 104    | 0x0068       |
| NtAddAtom                                             | 71     | 0x0047       |
| NtAddAtomEx                                           | 105    | 0x0069       |
| NtAddBootEntry                                        | 106    | 0x006A       |
| NtAddDriverEntry                                      | 107    | 0x006B       |
| NtAdjustGroupsToken                                   | 108    | 0x006C       |
| NtAdjustPrivilegesToken                               | 65     | 0x0041       |
| NtAdjustTokenClaimsAndDeviceGroups                    | 109    | 0x006D       |
| NtAlertResumeThread                                   | 110    | 0x006E       |
| NtAlertThread                                         | 111    | 0x006F       |
| NtAlertThreadByThreadId                               | 112    | 0x0070       |
| NtAllocateLocallyUniqueId                             | 113    | 0x0071       |
| NtAllocateReserveObject                               | 114    | 0x0072       |
| NtAllocateUserPhysicalPages                           | 115    | 0x0073       |
| NtAllocateUserPhysicalPagesEx                         | 116    | 0x0074       |
| NtAllocateUuids                                       | 117    | 0x0075       |
| NtAllocateVirtualMemory                               | 24     | 0x0018       |
| NtAllocateVirtualMemoryEx                             | 118    | 0x0076       |
| NtAlpcAcceptConnectPort                               | 119    | 0x0077       |
| NtAlpcCancelMessage                                   | 120    | 0x0078       |
| NtAlpcConnectPort                                     | 121    | 0x0079       |
| NtAlpcConnectPortEx                                   | 122    | 0x007A       |
| NtAlpcCreatePort                                      | 123    | 0x007B       |
| NtAlpcCreatePortSection                               | 124    | 0x007C       |
| NtAlpcCreateResourceReserve                           | 125    | 0x007D       |
| NtAlpcCreateSectionView                               | 126    | 0x007E       |
| NtAlpcCreateSecurityContext                           | 127    | 0x007F       |
| NtAlpcDeletePortSection                               | 128    | 0x0080       |
| NtAlpcDeleteResourceReserve                           | 129    | 0x0081       |
| NtAlpcDeleteSectionView                               | 130    | 0x0082       |
| NtAlpcDeleteSecurityContext                           | 131    | 0x0083       |
| NtAlpcDisconnectPort                                  | 132    | 0x0084       |
| NtAlpcImpersonateClientContainerOfPort                | 133    | 0x0085       |
| NtAlpcImpersonateClientOfPort                         | 134    | 0x0086       |
| NtAlpcOpenSenderProcess                               | 135    | 0x0087       |
| NtAlpcOpenSenderThread                                | 136    | 0x0088       |
| NtAlpcQueryInformation                                | 137    | 0x0089       |
| NtAlpcQueryInformationMessage                         | 138    | 0x008A       |
| NtAlpcRevokeSecurityContext                           | 139    | 0x008B       |
| NtAlpcSendWaitReceivePort                             | 140    | 0x008C       |
| NtAlpcSetInformation                                  | 141    | 0x008D       |
| NtApphelpCacheControl                                 | 76     | 0x004C       |
| NtAreMappedFilesTheSame                               | 142    | 0x008E       |
| NtAssignProcessToJobObject                            | 143    | 0x008F       |
| NtAssociateWaitCompletionPacket                       | 144    | 0x0090       |
| NtCallEnclave                                         | 145    | 0x0091       |
| NtCallbackReturn                                      | 5      | 0x0005       |
| NtCancelIoFile                                        | 93     | 0x005D       |
| NtCancelIoFileEx                                      | 146    | 0x0092       |
| NtCancelSynchronousIoFile                             | 147    | 0x0093       |
| NtCancelTimer                                         | 97     | 0x0061       |
| NtCancelTimer2                                        | 148    | 0x0094       |
| NtCancelWaitCompletionPacket                          | 149    | 0x0095       |
| NtChangeProcessState                                  | 150    | 0x0096       |
| NtChangeThreadState                                   | 151    | 0x0097       |
| NtClearEvent                                          | 62     | 0x003E       |
| NtClose                                               | 15     | 0x000F       |
| NtCloseObjectAuditAlarm                               | 59     | 0x003B       |
| NtCommitComplete                                      | 152    | 0x0098       |
| NtCommitEnlistment                                    | 153    | 0x0099       |
| NtCommitRegistryTransaction                           | 154    | 0x009A       |
| NtCommitTransaction                                   | 155    | 0x009B       |
| NtCompactKeys                                         | 156    | 0x009C       |
| NtCompareObjects                                      | 157    | 0x009D       |
| NtCompareSigningLevels                                | 158    | 0x009E       |
| NtCompareTokens                                       | 159    | 0x009F       |
| NtCompleteConnectPort                                 | 160    | 0x00A0       |
| NtCompressKey                                         | 161    | 0x00A1       |
| NtConnectPort                                         | 162    | 0x00A2       |
| NtContinue                                            | 67     | 0x0043       |
| NtContinueEx                                          | 163    | 0x00A3       |
| NtConvertBetweenAuxiliaryCounterAndPerformanceCounter | 164    | 0x00A4       |
| NtCopyFileChunk                                       | 165    | 0x00A5       |
| NtCreateCpuPartition                                  | 166    | 0x00A6       |
| NtCreateCrossVmEvent                                  | 167    | 0x00A7       |
| NtCreateCrossVmMutant                                 | 168    | 0x00A8       |
| NtCreateDebugObject                                   | 169    | 0x00A9       |
| NtCreateDirectoryObject                               | 170    | 0x00AA       |
| NtCreateDirectoryObjectEx                             | 171    | 0x00AB       |
| NtCreateEnclave                                       | 172    | 0x00AC       |
| NtCreateEnlistment                                    | 173    | 0x00AD       |
| NtCreateEvent                                         | 72     | 0x0048       |
| NtCreateEventPair                                     | 174    | 0x00AE       |
| NtCreateFile                                          | 85     | 0x0055       |
| NtCreateIRTimer                                       | 175    | 0x00AF       |
| NtCreateIoCompletion                                  | 176    | 0x00B0       |
| NtCreateIoRing                                        | 177    | 0x00B1       |
| NtCreateJobObject                                     | 178    | 0x00B2       |
| NtCreateJobSet                                        | 179    | 0x00B3       |
| NtCreateKey                                           | 29     | 0x001D       |
| NtCreateKeyTransacted                                 | 180    | 0x00B4       |
| NtCreateKeyedEvent                                    | 181    | 0x00B5       |
| NtCreateLowBoxToken                                   | 182    | 0x00B6       |
| NtCreateMailslotFile                                  | 183    | 0x00B7       |
| NtCreateMutant                                        | 184    | 0x00B8       |
| NtCreateNamedPipeFile                                 | 185    | 0x00B9       |
| NtCreatePagingFile                                    | 186    | 0x00BA       |
| NtCreatePartition                                     | 187    | 0x00BB       |
| NtCreatePort                                          | 188    | 0x00BC       |
| NtCreatePrivateNamespace                              | 189    | 0x00BD       |
| NtCreateProcess                                       | 190    | 0x00BE       |
| NtCreateProcessEx                                     | 77     | 0x004D       |
| NtCreateProcessStateChange                            | 191    | 0x00BF       |
| NtCreateProfile                                       | 192    | 0x00C0       |
| NtCreateProfileEx                                     | 193    | 0x00C1       |
| NtCreateRegistryTransaction                           | 194    | 0x00C2       |
| NtCreateResourceManager                               | 195    | 0x00C3       |
| NtCreateSection                                       | 74     | 0x004A       |
| NtCreateSectionEx                                     | 196    | 0x00C4       |
| NtCreateSemaphore                                     | 197    | 0x00C5       |
| NtCreateSymbolicLinkObject                            | 198    | 0x00C6       |
| NtCreateThread                                        | 78     | 0x004E       |
| NtCreateThreadEx                                      | 199    | 0x00C7       |
| NtCreateThreadStateChange                             | 200    | 0x00C8       |
| NtCreateTimer                                         | 201    | 0x00C9       |
| NtCreateTimer2                                        | 202    | 0x00CA       |
| NtCreateToken                                         | 203    | 0x00CB       |
| NtCreateTokenEx                                       | 204    | 0x00CC       |
| NtCreateTransaction                                   | 205    | 0x00CD       |
| NtCreateTransactionManager                            | 206    | 0x00CE       |
| NtCreateUserProcess                                   | 207    | 0x00CF       |
| NtCreateWaitCompletionPacket                          | 208    | 0x00D0       |
| NtCreateWaitablePort                                  | 209    | 0x00D1       |
| NtCreateWnfStateName                                  | 210    | 0x00D2       |
| NtCreateWorkerFactory                                 | 211    | 0x00D3       |
| NtDebugActiveProcess                                  | 212    | 0x00D4       |
| NtDebugContinue                                       | 213    | 0x00D5       |
| NtDelayExecution                                      | 52     | 0x0034       |
| NtDeleteAtom                                          | 214    | 0x00D6       |
| NtDeleteBootEntry                                     | 215    | 0x00D7       |
| NtDeleteDriverEntry                                   | 216    | 0x00D8       |
| NtDeleteFile                                          | 217    | 0x00D9       |
| NtDeleteKey                                           | 218    | 0x00DA       |
| NtDeleteObjectAuditAlarm                              | 219    | 0x00DB       |
| NtDeletePrivateNamespace                              | 220    | 0x00DC       |
| NtDeleteValueKey                                      | 221    | 0x00DD       |
| NtDeleteWnfStateData                                  | 222    | 0x00DE       |
| NtDeleteWnfStateName                                  | 223    | 0x00DF       |
| NtDeviceIoControlFile                                 | 7      | 0x0007       |
| NtDirectGraphicsCall                                  | 224    | 0x00E0       |
| NtDisableLastKnownGood                                | 225    | 0x00E1       |
| NtDisplayString                                       | 226    | 0x00E2       |
| NtDrawText                                            | 227    | 0x00E3       |
| NtDuplicateObject                                     | 60     | 0x003C       |
| NtDuplicateToken                                      | 66     | 0x0042       |
| NtEnableLastKnownGood                                 | 228    | 0x00E4       |
| NtEnumerateBootEntries                                | 229    | 0x00E5       |
| NtEnumerateDriverEntries                              | 230    | 0x00E6       |
| NtEnumerateKey                                        | 50     | 0x0032       |
| NtEnumerateSystemEnvironmentValuesEx                  | 231    | 0x00E7       |
| NtEnumerateTransactionObject                          | 232    | 0x00E8       |
| NtEnumerateValueKey                                   | 19     | 0x0013       |
| NtExtendSection                                       | 233    | 0x00E9       |
| NtFilterBootOption                                    | 234    | 0x00EA       |
| NtFilterToken                                         | 235    | 0x00EB       |
| NtFilterTokenEx                                       | 236    | 0x00EC       |
| NtFindAtom                                            | 20     | 0x0014       |
| NtFlushBuffersFile                                    | 75     | 0x004B       |
| NtFlushBuffersFileEx                                  | 237    | 0x00ED       |
| NtFlushInstallUILanguage                              | 238    | 0x00EE       |
| NtFlushInstructionCache                               | 239    | 0x00EF       |
| NtFlushKey                                            | 240    | 0x00F0       |
| NtFlushProcessWriteBuffers                            | 241    | 0x00F1       |
| NtFlushVirtualMemory                                  | 242    | 0x00F2       |
| NtFlushWriteBuffer                                    | 243    | 0x00F3       |
