  ───────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │ThreadId                    │Address          │ReturnTo         │ReturnFrom       │Size │Level        
  ───────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │0000000000000000            │0000000000000000 │0000000000000000 │0000000000000000 │0    │             
  ├───0000000000000000         │00000002429BF7B8 │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7B9 │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7BA │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7BB │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7BC │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7BD │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7BE │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7BF │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7C0 │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7C1 │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7C2 │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7C3 │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7C4 │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7C5 │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7C6 │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7C7 │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7C8 │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
  ├───0000000000000000         │00000002429BF7C9 │00007FF884F43EB3 │00007FF884F9A184 │280  │系统模块         
