Windows 11 v10.0.22621.1928
┌─────┬───────────────────────────────────────────────────────┬───────┬──────────┐
│ Id  │                         Name                          │ Index │ IndexHex │
├─────┼───────────────────────────────────────────────────────┼───────┼──────────┤
│ 1   │ NtAccessCheck                                         │ 0     │ 0x0      │
│ 2   │ NtWorkerFactoryWorkerReady                            │ 1     │ 0x1      │
│ 3   │ NtAcceptConnectPort                                   │ 2     │ 0x2      │
│ 4   │ NtMapUserPhysicalPagesScatter                         │ 3     │ 0x3      │
│ 5   │ NtWaitForSingleObject                                 │ 4     │ 0x4      │
│ 6   │ NtCallbackReturn                                      │ 5     │ 0x5      │
│ 7   │ NtReadFile                                            │ 6     │ 0x6      │
│ 8   │ NtDeviceIoControlFile                                 │ 7     │ 0x7      │
│ 9   │ NtWriteFile                                           │ 8     │ 0x8      │
│ 10  │ NtRemoveIoCompletion                                  │ 9     │ 0x9      │
│ 11  │ NtReleaseSemaphore                                    │ 10    │ 0xa      │
│ 12  │ NtReplyWaitReceivePort                                │ 11    │ 0xb      │
│ 13  │ NtReplyPort                                           │ 12    │ 0xc      │
│ 14  │ NtSetInformationThread                                │ 13    │ 0xd      │
│ 15  │ NtSetEvent                                            │ 14    │ 0xe      │
│ 16  │ NtClose                                               │ 15    │ 0xf      │
│ 17  │ NtQueryObject                                         │ 16    │ 0x10     │
│ 18  │ NtQueryInformationFile                                │ 17    │ 0x11     │
│ 19  │ NtOpenKey                                             │ 18    │ 0x12     │
│ 20  │ NtEnumerateValueKey                                   │ 19    │ 0x13     │
│ 21  │ NtFindAtom                                            │ 20    │ 0x14     │
│ 22  │ NtQueryDefaultLocale                                  │ 21    │ 0x15     │
│ 23  │ NtQueryKey                                            │ 22    │ 0x16     │
│ 24  │ NtQueryValueKey                                       │ 23    │ 0x17     │
│ 25  │ NtAllocateVirtualMemory                               │ 24    │ 0x18     │
│ 26  │ NtQueryInformationProcess                             │ 25    │ 0x19     │
│ 27  │ NtWaitForMultipleObjects32                            │ 26    │ 0x1a     │
│ 28  │ NtWriteFileGather                                     │ 27    │ 0x1b     │
│ 29  │ NtSetInformationProcess                               │ 28    │ 0x1c     │
│ 30  │ NtCreateKey                                           │ 29    │ 0x1d     │
│ 31  │ NtFreeVirtualMemory                                   │ 30    │ 0x1e     │
│ 32  │ NtImpersonateClientOfPort                             │ 31    │ 0x1f     │
│ 33  │ NtReleaseMutant                                       │ 32    │ 0x20     │
│ 34  │ NtQueryInformationToken                               │ 33    │ 0x21     │
│ 35  │ NtRequestWaitReplyPort                                │ 34    │ 0x22     │
│ 36  │ NtQueryVirtualMemory                                  │ 35    │ 0x23     │
│ 37  │ NtOpenThreadToken                                     │ 36    │ 0x24     │
│ 38  │ NtQueryInformationThread                              │ 37    │ 0x25     │
│ 39  │ NtOpenProcess                                         │ 38    │ 0x26     │
│ 40  │ NtSetInformationFile                                  │ 39    │ 0x27     │
│ 41  │ NtMapViewOfSection                                    │ 40    │ 0x28     │
│ 42  │ NtAccessCheckAndAuditAlarm                            │ 41    │ 0x29     │
│ 43  │ NtUnmapViewOfSection                                  │ 42    │ 0x2a     │
│ 44  │ NtReplyWaitReceivePortEx                              │ 43    │ 0x2b     │
│ 45  │ NtTerminateProcess                                    │ 44    │ 0x2c     │
│ 46  │ NtSetEventBoostPriority                               │ 45    │ 0x2d     │
│ 47  │ NtReadFileScatter                                     │ 46    │ 0x2e     │
│ 48  │ NtOpenThreadTokenEx                                   │ 47    │ 0x2f     │
│ 49  │ NtOpenProcessTokenEx                                  │ 48    │ 0x30     │
│ 50  │ NtQueryPerformanceCounter                             │ 49    │ 0x31     │
│ 51  │ NtEnumerateKey                                        │ 50    │ 0x32     │
│ 52  │ NtOpenFile                                            │ 51    │ 0x33     │
│ 53  │ NtDelayExecution                                      │ 52    │ 0x34     │
│ 54  │ NtQueryDirectoryFile                                  │ 53    │ 0x35     │
│ 55  │ NtQuerySystemInformation                              │ 54    │ 0x36     │
│ 56  │ NtOpenSection                                         │ 55    │ 0x37     │
│ 57  │ NtQueryTimer                                          │ 56    │ 0x38     │
│ 58  │ NtFsControlFile                                       │ 57    │ 0x39     │
│ 59  │ NtWriteVirtualMemory                                  │ 58    │ 0x3a     │
│ 60  │ NtCloseObjectAuditAlarm                               │ 59    │ 0x3b     │
│ 61  │ NtDuplicateObject                                     │ 60    │ 0x3c     │
│ 62  │ NtQueryAttributesFile                                 │ 61    │ 0x3d     │
│ 63  │ NtClearEvent                                          │ 62    │ 0x3e     │
│ 64  │ NtReadVirtualMemory                                   │ 63    │ 0x3f     │
│ 65  │ NtOpenEvent                                           │ 64    │ 0x40     │
│ 66  │ NtAdjustPrivilegesToken                               │ 65    │ 0x41     │
│ 67  │ NtDuplicateToken                                      │ 66    │ 0x42     │
│ 68  │ NtContinue                                            │ 67    │ 0x43     │
│ 69  │ NtQueryDefaultUILanguage                              │ 68    │ 0x44     │
│ 70  │ NtQueueApcThread                                      │ 69    │ 0x45     │
│ 71  │ NtYieldExecution                                      │ 70    │ 0x46     │
│ 72  │ NtAddAtom                                             │ 71    │ 0x47     │
│ 73  │ NtCreateEvent                                         │ 72    │ 0x48     │
│ 74  │ NtQueryVolumeInformationFile                          │ 73    │ 0x49     │
│ 75  │ NtCreateSection                                       │ 74    │ 0x4a     │
│ 76  │ NtFlushBuffersFile                                    │ 75    │ 0x4b     │
│ 77  │ NtApphelpCacheControl                                 │ 76    │ 0x4c     │
│ 78  │ NtCreateProcessEx                                     │ 77    │ 0x4d     │
│ 79  │ NtCreateThread                                        │ 78    │ 0x4e     │
│ 80  │ NtIsProcessInJob                                      │ 79    │ 0x4f     │
│ 81  │ NtProtectVirtualMemory                                │ 80    │ 0x50     │
│ 82  │ NtQuerySection                                        │ 81    │ 0x51     │
│ 83  │ NtResumeThread                                        │ 82    │ 0x52     │
│ 84  │ NtTerminateThread                                     │ 83    │ 0x53     │
│ 85  │ NtReadRequestData                                     │ 84    │ 0x54     │
│ 86  │ NtCreateFile                                          │ 85    │ 0x55     │
│ 87  │ NtQueryEvent                                          │ 86    │ 0x56     │
│ 88  │ NtWriteRequestData                                    │ 87    │ 0x57     │
│ 89  │ NtOpenDirectoryObject                                 │ 88    │ 0x58     │
│ 90  │ NtAccessCheckByTypeAndAuditAlarm                      │ 89    │ 0x59     │
│ 91  │ NtWaitForMultipleObjects                              │ 91    │ 0x5b     │
│ 92  │ NtQuerySystemTime                                     │ 91    │ 0x5b     │
│ 93  │ NtSetInformationObject                                │ 92    │ 0x5c     │
│ 94  │ NtCancelIoFile                                        │ 93    │ 0x5d     │
│ 95  │ NtTraceEvent                                          │ 94    │ 0x5e     │
│ 96  │ NtPowerInformation                                    │ 95    │ 0x5f     │
│ 97  │ NtSetValueKey                                         │ 96    │ 0x60     │
│ 98  │ NtCancelTimer                                         │ 97    │ 0x61     │
