Windows 11 v10.0.22621.1928
┌──────┬─────────────────────────────────────────────────────────┬───────┬──────────┐
│  Id  │                          Name                           │ Index │ IndexHex │
├──────┼─────────────────────────────────────────────────────────┼───────┼──────────┤
│ 1    │ NtUserGetThreadState                                    │ 0     │ 0x0      │
│ 2    │ NtUserPeekMessage                                       │ 1     │ 0x1      │
│ 3    │ NtUserGetKeyState                                       │ 2     │ 0x2      │
│ 4    │ NtUserInvalidateRect                                    │ 3     │ 0x3      │
│ 5    │ NtUserGetMessage                                        │ 4     │ 0x4      │
│ 6    │ NtUserMessageCall                                       │ 5     │ 0x5      │
│ 7    │ NtGdiBitBlt                                             │ 6     │ 0x6      │
│ 8    │ NtGdiGetCharSet                                         │ 7     │ 0x7      │
│ 9    │ NtUserGetDC                                             │ 8     │ 0x8      │
│ 10   │ NtGdiSelectBitmap                                       │ 9     │ 0x9      │
│ 11   │ NtUserWaitMessage                                       │ 10    │ 0xa      │
│ 12   │ NtUserTranslateMessage                                  │ 11    │ 0xb      │
│ 13   │ NtUserGetProp                                           │ 12    │ 0xc      │
│ 14   │ NtUserPostMessage                                       │ 13    │ 0xd      │
│ 15   │ NtUserQueryWindow                                       │ 14    │ 0xe      │
│ 16   │ NtUserTranslateAccelerator                              │ 15    │ 0xf      │
│ 17   │ NtGdiFlush                                              │ 16    │ 0x10     │
│ 18   │ NtUserRedrawWindow                                      │ 17    │ 0x11     │
│ 19   │ NtUserWindowFromPoint                                   │ 18    │ 0x12     │
│ 20   │ NtUserCallMsgFilter                                     │ 19    │ 0x13     │
│ 21   │ NtUserValidateTimerCallback                             │ 20    │ 0x14     │
│ 22   │ NtUserBeginPaint                                        │ 21    │ 0x15     │
│ 23   │ NtUserSetTimer                                          │ 22    │ 0x16     │
│ 24   │ NtUserEndPaint                                          │ 23    │ 0x17     │
│ 25   │ NtUserSetCursor                                         │ 24    │ 0x18     │
│ 26   │ NtUserKillTimer                                         │ 25    │ 0x19     │
│ 27   │ NtUserBuildHwndList                                     │ 26    │ 0x1a     │
│ 28   │ NtUserSelectPalette                                     │ 27    │ 0x1b     │
│ 29   │ NtUserCallNextHookEx                                    │ 28    │ 0x1c     │
│ 30   │ NtUserHideCaret                                         │ 29    │ 0x1d     │
│ 31   │ NtGdiIntersectClipRect                                  │ 30    │ 0x1e     │
│ 32   │ NtUserGetProcessWindowStation                           │ 31    │ 0x1f     │
│ 33   │ NtGdiDeleteObjectApp                                    │ 32    │ 0x20     │
│ 34   │ NtUserSetWindowPos                                      │ 33    │ 0x21     │
│ 35   │ NtUserShowCaret                                         │ 34    │ 0x22     │
│ 36   │ NtUserEndDeferWindowPosEx                               │ 35    │ 0x23     │
│ 37   │ NtUserVkKeyScanEx                                       │ 36    │ 0x24     │
│ 38   │ NtGdiSetDIBitsToDeviceInternal                          │ 37    │ 0x25     │
│ 39   │ NtGdiGetRandomRgn                                       │ 38    │ 0x26     │
│ 40   │ NtUserCopyAcceleratorTable                              │ 39    │ 0x27     │
│ 41   │ NtUserNotifyWinEvent                                    │ 40    │ 0x28     │
│ 42   │ NtGdiExtSelectClipRgn                                   │ 41    │ 0x29     │
│ 43   │ NtUserIsClipboardFormatAvailable                        │ 42    │ 0x2a     │
│ 44   │ NtUserSetScrollInfo                                     │ 43    │ 0x2b     │
│ 45   │ NtGdiStretchBlt                                         │ 44    │ 0x2c     │
│ 46   │ NtUserCreateCaret                                       │ 45    │ 0x2d     │
│ 47   │ NtGdiRectVisible                                        │ 46    │ 0x2e     │
│ 48   │ NtGdiCombineRgn                                         │ 47    │ 0x2f     │
│ 49   │ NtGdiGetDCObject                                        │ 48    │ 0x30     │
│ 50   │ NtUserDispatchMessage                                   │ 49    │ 0x31     │
│ 51   │ NtUserRegisterWindowMessage                             │ 50    │ 0x32     │
│ 52   │ NtGdiExtTextOutW                                        │ 51    │ 0x33     │
│ 53   │ NtGdiSelectFont                                         │ 52    │ 0x34     │
│ 54   │ NtGdiRestoreDC                                          │ 53    │ 0x35     │
│ 55   │ NtGdiSaveDC                                             │ 54    │ 0x36     │
│ 56   │ NtUserGetForegroundWindow                               │ 55    │ 0x37     │
│ 57   │ NtUserShowScrollBar                                     │ 56    │ 0x38     │
│ 58   │ NtUserFindExistingCursorIcon                            │ 57    │ 0x39     │
│ 59   │ NtGdiGetDCDword                                         │ 58    │ 0x3a     │
│ 60   │ NtGdiGetRegionData                                      │ 59    │ 0x3b     │
│ 61   │ NtGdiLineTo                                             │ 60    │ 0x3c     │
│ 62   │ NtUserSystemParametersInfo                              │ 61    │ 0x3d     │
│ 63   │ NtGdiGetAppClipBox                                      │ 62    │ 0x3e     │
│ 64   │ NtUserGetAsyncKeyState                                  │ 63    │ 0x3f     │
│ 65   │ NtUserGetCPD                                            │ 64    │ 0x40     │
│ 66   │ NtUserRemoveProp                                        │ 65    │ 0x41     │
│ 67   │ NtGdiDoPalette                                          │ 66    │ 0x42     │
│ 68   │ NtGdiPolyPolyDraw                                       │ 67    │ 0x43     │
│ 69   │ NtUserSetCapture                                        │ 68    │ 0x44     │
│ 70   │ NtUserEnumDisplayMonitors                               │ 69    │ 0x45     │
│ 71   │ NtGdiCreateCompatibleBitmap                             │ 70    │ 0x46     │
│ 72   │ NtUserSetProp                                           │ 71    │ 0x47     │
│ 73   │ NtGdiGetTextCharsetInfo                                 │ 72    │ 0x48     │
│ 74   │ NtUserSBGetParms                                        │ 73    │ 0x49     │
│ 75   │ NtUserGetIconInfo                                       │ 74    │ 0x4a     │
│ 76   │ NtUserExcludeUpdateRgn                                  │ 75    │ 0x4b     │
│ 77   │ NtUserSetFocus                                          │ 76    │ 0x4c     │
│ 78   │ NtGdiExtGetObjectW                                      │ 77    │ 0x4d     │
│ 79   │ NtUserGetUpdateRect                                     │ 78    │ 0x4e     │
│ 80   │ NtGdiCreateCompatibleDC                                 │ 79    │ 0x4f     │
│ 81   │ NtUserGetClipboardSequenceNumber                        │ 80    │ 0x50     │
│ 82   │ NtGdiCreatePen                                          │ 81    │ 0x51     │
│ 83   │ NtUserShowWindow                                        │ 82    │ 0x52     │
│ 84   │ NtUserGetKeyboardLayoutList                             │ 83    │ 0x53     │
│ 85   │ NtGdiPatBlt                                             │ 84    │ 0x54     │
│ 86   │ NtUserMapVirtualKeyEx                                   │ 85    │ 0x55     │
│ 87   │ NtUserSetWindowLong                                     │ 86    │ 0x56     │
│ 88   │ NtGdiHfontCreate                                        │ 87    │ 0x57     │
│ 89   │ NtUserMoveWindow                                        │ 88    │ 0x58     │
│ 90   │ NtUserPostThreadMessage                                 │ 89    │ 0x59     │
│ 91   │ NtUserDrawIconEx                                        │ 90    │ 0x5a     │
│ 92   │ NtUserGetSystemMenu                                     │ 91    │ 0x5b     │
│ 93   │ NtGdiDrawStream                                         │ 92    │ 0x5c     │
│ 94   │ NtUserInternalGetWindowText                             │ 93    │ 0x5d     │
│ 95   │ NtUserGetWindowDC                                       │ 94    │ 0x5e     │
│ 96   │ NtGdiInvertRgn                                          │ 95    │ 0x5f     │
│ 97   │ NtGdiGetRgnBox                                          │ 96    │ 0x60     │
│ 98   │ NtGdiGetAndSetDCDword                                   │ 97    │ 0x61     │
│ 99   │ NtGdiMaskBlt                                            │ 98    │ 0x62     │
│ 100  │ NtGdiGetWidthTable                                      │ 99    │ 0x63     │
│ 101  │ NtUserScrollDC                                          │ 100   │ 0x64     │
│ 102  │ NtUserGetObjectInformation                              │ 101   │ 0x65     │
│ 103  │ NtGdiCreateBitmap                                       │ 102   │ 0x66     │
│ 104  │ NtUserFindWindowEx                                      │ 103   │ 0x67     │
│ 105  │ NtGdiPolyPatBlt                                         │ 104   │ 0x68     │
│ 106  │ NtUserUnhookWindowsHookEx                               │ 105   │ 0x69     │
│ 107  │ NtGdiGetNearestColor                                    │ 106   │ 0x6a     │
│ 108  │ NtGdiTransformPoints                                    │ 107   │ 0x6b     │
│ 109  │ NtGdiGetDCPoint                                         │ 108   │ 0x6c     │
│ 110  │ NtGdiCreateDIBBrush                                     │ 109   │ 0x6d     │
│ 111  │ NtGdiGetTextMetricsW                                    │ 110   │ 0x6e     │
│ 112  │ NtUserCreateWindowEx                                    │ 111   │ 0x6f     │
│ 113  │ NtUserSetParent                                         │ 112   │ 0x70     │
│ 114  │ NtUserGetKeyboardState                                  │ 113   │ 0x71     │
│ 115  │ NtUserToUnicodeEx                                       │ 114   │ 0x72     │
│ 116  │ NtUserGetControlBrush                                   │ 115   │ 0x73     │
│ 117  │ NtUserGetClassName                                      │ 116   │ 0x74     │
│ 118  │ NtGdiAlphaBlend                                         │ 117   │ 0x75     │
│ 119  │ NtGdiOffsetRgn                                          │ 118   │ 0x76     │
│ 120  │ NtUserDefSetText                                        │ 119   │ 0x77     │
│ 121  │ NtGdiGetTextFaceW                                       │ 120   │ 0x78     │
│ 122  │ NtGdiStretchDIBitsInternal                              │ 121   │ 0x79     │
│ 123  │ NtUserSendInput                                         │ 122   │ 0x7a     │
│ 124  │ NtUserGetThreadDesktop                                  │ 123   │ 0x7b     │
│ 125  │ NtGdiCreateRectRgn                                      │ 124   │ 0x7c     │
│ 126  │ NtGdiGetDIBitsInternal                                  │ 125   │ 0x7d     │
│ 127  │ NtUserGetUpdateRgn                                      │ 126   │ 0x7e     │
│ 128  │ NtGdiDeleteClientObj                                    │ 127   │ 0x7f     │
│ 129  │ NtUserGetIconSize                                       │ 128   │ 0x80     │
│ 130  │ NtUserFillWindow                                        │ 129   │ 0x81     │
│ 131  │ NtGdiExtCreateRegion                                    │ 130   │ 0x82     │
│ 132  │ NtGdiComputeXformCoefficients                           │ 131   │ 0x83     │
│ 133  │ NtUserSetWindowsHookEx                                  │ 132   │ 0x84     │
│ 134  │ NtUserNotifyProcessCreate                               │ 133   │ 0x85     │
│ 135  │ NtGdiUnrealizeObject                                    │ 134   │ 0x86     │
│ 136  │ NtUserGetTitleBarInfo                                   │ 135   │ 0x87     │
│ 137  │ NtGdiRectangle                                          │ 136   │ 0x88     │
│ 138  │ NtUserSetThreadDesktop                                  │ 137   │ 0x89     │
│ 139  │ NtUserGetDCEx                                           │ 138   │ 0x8a     │
│ 140  │ NtUserGetScrollBarInfo                                  │ 139   │ 0x8b     │
│ 141  │ NtGdiGetTextExtent                                      │ 140   │ 0x8c     │
│ 142  │ NtUserSetWindowFNID                                     │ 141   │ 0x8d     │
│ 143  │ NtGdiSetLayout                                          │ 142   │ 0x8e     │
│ 144  │ NtUserCalcMenuBar                                       │ 143   │ 0x8f     │
│ 145  │ NtUserThunkedMenuItemInfo                               │ 144   │ 0x90     │
│ 146  │ NtGdiExcludeClipRect                                    │ 145   │ 0x91     │
│ 147  │ NtGdiCreateDIBSection                                   │ 146   │ 0x92     │
│ 148  │ NtGdiGetDCforBitmap                                     │ 147   │ 0x93     │
│ 149  │ NtUserDestroyCursor                                     │ 148   │ 0x94     │
│ 150  │ NtUserDestroyWindow                                     │ 149   │ 0x95     │
